condition,image_id,input_path,expected_probability,observed_probability,absolute_error,source_probability_range,expected_class,observed_class,class_agreement,expected_threshold_distance,observed_threshold_distance
baseline,ISIC_0000513,/content/drive/MyDrive/Dissertation/edi_faithfulness_localization/edi_fixed_model_faithfulness_localization_isic100_r224_v1/transformed_inputs/baseline/ISIC_0000513.png,0.1666533350944519,0.1663995236158371,0.00025381147861480713,0.0,0,0,True,0.3333466649055481,0.3336004763841629
baseline,ISIC_0001103,/content/drive/MyDrive/Dissertation/edi_faithfulness_localization/edi_fixed_model_faithfulness_localization_isic100_r224_v1/transformed_inputs/baseline/ISIC_0001103.png,0.973406970500946,0.9736852645874023,0.00027829408645629883,0.0,1,1,True,0.47340697050094604,0.47368526458740234
baseline,ISIC_0001131,/content/drive/MyDrive/Dissertation/edi_faithfulness_localization/edi_fixed_model_faithfulness_localization_isic100_r224_v1/transformed_inputs/baseline/ISIC_0001131.png,0.004692593589425,0.00469016470015049,2.428889274510432e-06,0.0,0,0,True,0.495307406410575,0.4953098352998495
baseline,ISIC_0001133,/content/drive/MyDrive/Dissertation/edi_faithfulness_localization/edi_fixed_model_faithfulness_localization_isic100_r224_v1/transformed_inputs/baseline/ISIC_0001133.png,0.19830022752285,0.19750022888183594,0.0007999986410140714,0.0,0,0,True,0.30169977247714996,0.30249977111816406
baseline,ISIC_0001242,/content/drive/MyDrive/Dissertation/edi_faithfulness_localization/edi_fixed_model_faithfulness_localization_isic100_r224_v1/transformed_inputs/baseline/ISIC_0001242.png,0.9235804677009584,0.9216541647911072,0.0019263029098511852,0.0,1,1,True,0.42358046770095836,0.4216541647911072
baseline,ISIC_0001372,/content/drive/MyDrive/Dissertation/edi_faithfulness_localization/edi_fixed_model_faithfulness_localization_isic100_r224_v1/transformed_inputs/baseline/ISIC_0001372.png,0.4277657568454742,0.42845407128334045,0.0006883144378662664,0.0,0,0,True,0.07223424315452581,0.07154592871665955
baseline,ISIC_0003559,/content/drive/MyDrive/Dissertation/edi_faithfulness_localization/edi_fixed_model_faithfulness_localization_isic100_r224_v1/transformed_inputs/baseline/ISIC_0003559.png,0.8277513980865479,0.8298138380050659,0.0020624399185180664,0.0,1,1,True,0.32775139808654785,0.3298138380050659
baseline,ISIC_0006776,/content/drive/MyDrive/Dissertation/edi_faithfulness_localization/edi_fixed_model_faithfulness_localization_isic100_r224_v1/transformed_inputs/baseline/ISIC_0006776.png,0.9792611598968506,0.9789050221443176,0.000356137752532959,0.0,1,1,True,0.4792611598968506,0.4789050221443176
baseline,ISIC_0006982,/content/drive/MyDrive/Dissertation/edi_faithfulness_localization/edi_fixed_model_faithfulness_localization_isic100_r224_v1/transformed_inputs/baseline/ISIC_0006982.png,0.9589952230453492,0.9588131308555603,0.00018209218978892938,0.0,1,1,True,0.45899522304534923,0.4588131308555603
baseline,ISIC_0007038,/content/drive/MyDrive/Dissertation/edi_faithfulness_localization/edi_fixed_model_faithfulness_localization_isic100_r224_v1/transformed_inputs/baseline/ISIC_0007038.png,0.874121367931366,0.8765930533409119,0.0024716854095458984,0.0,1,1,True,0.37412136793136597,0.37659305334091187
baseline,ISIC_0009298,/content/drive/MyDrive/Dissertation/edi_faithfulness_localization/edi_fixed_model_faithfulness_localization_isic100_r224_v1/transformed_inputs/baseline/ISIC_0009298.png,0.18054644763469688,0.18434536457061768,0.0037989169359207986,0.0,0,0,True,0.31945355236530315,0.3156546354293823
baseline,ISIC_0009898,/content/drive/MyDrive/Dissertation/edi_faithfulness_localization/edi_fixed_model_faithfulness_localization_isic100_r224_v1/transformed_inputs/baseline/ISIC_0009898.png,0.166479542851448,0.16374945640563965,0.002730086445808355,0.0,0,0,True,0.333520457148552,0.33625054359436035
baseline,ISIC_0009931,/content/drive/MyDrive/Dissertation/edi_faithfulness_localization/edi_fixed_model_faithfulness_localization_isic100_r224_v1/transformed_inputs/baseline/ISIC_0009931.png,0.0071143582463264006,0.00692869583144784,0.00018566241487856083,0.0,0,0,True,0.4928856417536736,0.49307130416855216
baseline,ISIC_0009934,/content/drive/MyDrive/Dissertation/edi_faithfulness_localization/edi_fixed_model_faithfulness_localization_isic100_r224_v1/transformed_inputs/baseline/ISIC_0009934.png,0.1321262121200561,0.12753385305404663,0.004592359066009466,0.0,0,0,True,0.3678737878799439,0.37246614694595337
baseline,ISIC_0009960,/content/drive/MyDrive/Dissertation/edi_faithfulness_localization/edi_fixed_model_faithfulness_localization_isic100_r224_v1/transformed_inputs/baseline/ISIC_0009960.png,0.8941426873207092,0.8957621455192566,0.0016194581985473633,0.0,1,1,True,0.39414268732070923,0.3957621455192566
baseline,ISIC_0009979,/content/drive/MyDrive/Dissertation/edi_faithfulness_localization/edi_fixed_model_faithfulness_localization_isic100_r224_v1/transformed_inputs/baseline/ISIC_0009979.png,0.6867760419845581,0.6876833438873291,0.0009073019027709961,0.0,1,1,True,0.1867760419845581,0.1876833438873291
baseline,ISIC_0010090,/content/drive/MyDrive/Dissertation/edi_faithfulness_localization/edi_fixed_model_faithfulness_localization_isic100_r224_v1/transformed_inputs/baseline/ISIC_0010090.png,0.9805516004562378,0.980760931968689,0.00020933151245117188,0.0,1,1,True,0.4805516004562378,0.48076093196868896
baseline,ISIC_0010100,/content/drive/MyDrive/Dissertation/edi_faithfulness_localization/edi_fixed_model_faithfulness_localization_isic100_r224_v1/transformed_inputs/baseline/ISIC_0010100.png,0.0829038694500923,0.08113061636686325,0.001773253083229051,0.0,0,0,True,0.4170961305499077,0.41886938363313675
baseline,ISIC_0010175,/content/drive/MyDrive/Dissertation/edi_faithfulness_localization/edi_fixed_model_faithfulness_localization_isic100_r224_v1/transformed_inputs/baseline/ISIC_0010175.png,0.0090933134779334,0.009050610475242138,4.270300269126198e-05,0.0,0,0,True,0.4909066865220666,0.49094938952475786
baseline,ISIC_0010212,/content/drive/MyDrive/Dissertation/edi_faithfulness_localization/edi_fixed_model_faithfulness_localization_isic100_r224_v1/transformed_inputs/baseline/ISIC_0010212.png,0.0197848752140998,0.019908685237169266,0.00012381002306946498,0.0,0,0,True,0.4802151247859002,0.48009131476283073
baseline,ISIC_0010225,/content/drive/MyDrive/Dissertation/edi_faithfulness_localization/edi_fixed_model_faithfulness_localization_isic100_r224_v1/transformed_inputs/baseline/ISIC_0010225.png,0.3748130798339844,0.3674027621746063,0.007410317659378052,0.0,0,0,True,0.12518692016601562,0.13259723782539368
baseline,ISIC_0010334,/content/drive/MyDrive/Dissertation/edi_faithfulness_localization/edi_fixed_model_faithfulness_localization_isic100_r224_v1/transformed_inputs/baseline/ISIC_0010334.png,0.0345999784767627,0.03477749973535538,0.00017752125859267498,0.0,0,0,True,0.4654000215232373,0.4652225002646446
baseline,ISIC_0010570,/content/drive/MyDrive/Dissertation/edi_faithfulness_localization/edi_fixed_model_faithfulness_localization_isic100_r224_v1/transformed_inputs/baseline/ISIC_0010570.png,0.0433391220867633,0.043508581817150116,0.00016945973038681728,0.0,0,0,True,0.45666087791323673,0.4564914181828499
baseline,ISIC_0010596,/content/drive/MyDrive/Dissertation/edi_faithfulness_localization/edi_fixed_model_faithfulness_localization_isic100_r224_v1/transformed_inputs/baseline/ISIC_0010596.png,0.031778261065483,0.031629979610443115,0.00014828145503988782,0.0,0,0,True,0.468221738934517,0.4683700203895569
baseline,ISIC_0010863,/content/drive/MyDrive/Dissertation/edi_faithfulness_localization/edi_fixed_model_faithfulness_localization_isic100_r224_v1/transformed_inputs/baseline/ISIC_0010863.png,0.0528475008904933,0.05327018350362778,0.00042268261313447436,0.0,0,0,True,0.4471524991095067,0.4467298164963722
baseline,ISIC_0011158,/content/drive/MyDrive/Dissertation/edi_faithfulness_localization/edi_fixed_model_faithfulness_localization_isic100_r224_v1/transformed_inputs/baseline/ISIC_0011158.png,0.0170796923339366,0.017002683132886887,7.700920104971448e-05,0.0,0,0,True,0.4829203076660634,0.4829973168671131
baseline,ISIC_0011173,/content/drive/MyDrive/Dissertation/edi_faithfulness_localization/edi_fixed_model_faithfulness_localization_isic100_r224_v1/transformed_inputs/baseline/ISIC_0011173.png,0.9571174383163452,0.9566957950592041,0.0004216432571411133,0.0,1,1,True,0.4571174383163452,0.4566957950592041
baseline,ISIC_0011383,/content/drive/MyDrive/Dissertation/edi_faithfulness_localization/edi_fixed_model_faithfulness_localization_isic100_r224_v1/transformed_inputs/baseline/ISIC_0011383.png,0.8383181691169739,0.8382807970046997,3.737211227416992e-05,0.0,1,1,True,0.3383181691169739,0.3382807970046997
baseline,ISIC_0012086,/content/drive/MyDrive/Dissertation/edi_faithfulness_localization/edi_fixed_model_faithfulness_localization_isic100_r224_v1/transformed_inputs/baseline/ISIC_0012086.png,0.2883248329162597,0.286694198846817,0.0016306340694426935,0.0,0,0,True,0.2116751670837403,0.21330580115318298
baseline,ISIC_0012356,/content/drive/MyDrive/Dissertation/edi_faithfulness_localization/edi_fixed_model_faithfulness_localization_isic100_r224_v1/transformed_inputs/baseline/ISIC_0012356.png,0.4358180165290832,0.4409799873828888,0.0051619708538055975,0.0,0,0,True,0.0641819834709168,0.059020012617111206
baseline,ISIC_0012395,/content/drive/MyDrive/Dissertation/edi_faithfulness_localization/edi_fixed_model_faithfulness_localization_isic100_r224_v1/transformed_inputs/baseline/ISIC_0012395.png,0.8045207262039185,0.8033789992332458,0.0011417269706726074,0.0,1,1,True,0.30452072620391846,0.30337899923324585
baseline,ISIC_0012701,/content/drive/MyDrive/Dissertation/edi_faithfulness_localization/edi_fixed_model_faithfulness_localization_isic100_r224_v1/transformed_inputs/baseline/ISIC_0012701.png,0.9839117527008056,0.9835371375083923,0.00037461519241321906,0.0,1,1,True,0.48391175270080555,0.48353713750839233
baseline,ISIC_0012705,/content/drive/MyDrive/Dissertation/edi_faithfulness_localization/edi_fixed_model_faithfulness_localization_isic100_r224_v1/transformed_inputs/baseline/ISIC_0012705.png,0.5579802393913269,0.5585862994194031,0.0006060600280761719,0.0,1,1,True,0.057980239391326904,0.058586299419403076
baseline,ISIC_0012840,/content/drive/MyDrive/Dissertation/edi_faithfulness_localization/edi_fixed_model_faithfulness_localization_isic100_r224_v1/transformed_inputs/baseline/ISIC_0012840.png,0.747074544429779,0.7503163814544678,0.0032418370246887207,0.0,1,1,True,0.24707454442977905,0.2503163814544678
baseline,ISIC_0012877,/content/drive/MyDrive/Dissertation/edi_faithfulness_localization/edi_fixed_model_faithfulness_localization_isic100_r224_v1/transformed_inputs/baseline/ISIC_0012877.png,0.5979015827178955,0.5975664258003235,0.0003351569175720215,0.0,1,1,True,0.09790158271789551,0.09756642580032349
baseline,ISIC_0012930,/content/drive/MyDrive/Dissertation/edi_faithfulness_localization/edi_fixed_model_faithfulness_localization_isic100_r224_v1/transformed_inputs/baseline/ISIC_0012930.png,0.9699246883392334,0.9698101878166199,0.00011450052261352539,0.0,1,1,True,0.4699246883392334,0.4698101878166199
baseline,ISIC_0012949,/content/drive/MyDrive/Dissertation/edi_faithfulness_localization/edi_fixed_model_faithfulness_localization_isic100_r224_v1/transformed_inputs/baseline/ISIC_0012949.png,0.8753840923309326,0.8725966811180115,0.0027874112129211426,0.0,1,1,True,0.3753840923309326,0.3725966811180115
baseline,ISIC_0012966,/content/drive/MyDrive/Dissertation/edi_faithfulness_localization/edi_fixed_model_faithfulness_localization_isic100_r224_v1/transformed_inputs/baseline/ISIC_0012966.png,0.63067626953125,0.635951042175293,0.005274772644042969,0.0,1,1,True,0.13067626953125,0.13595104217529297
baseline,ISIC_0013079,/content/drive/MyDrive/Dissertation/edi_faithfulness_localization/edi_fixed_model_faithfulness_localization_isic100_r224_v1/transformed_inputs/baseline/ISIC_0013079.png,0.7919360995292664,0.7925964593887329,0.0006603598594665527,0.0,1,1,True,0.29193609952926636,0.2925964593887329
baseline,ISIC_0013147,/content/drive/MyDrive/Dissertation/edi_faithfulness_localization/edi_fixed_model_faithfulness_localization_isic100_r224_v1/transformed_inputs/baseline/ISIC_0013147.png,0.8888967037200928,0.8890672326087952,0.00017052888870239258,0.0,1,1,True,0.3888967037200928,0.38906723260879517
baseline,ISIC_0013177,/content/drive/MyDrive/Dissertation/edi_faithfulness_localization/edi_fixed_model_faithfulness_localization_isic100_r224_v1/transformed_inputs/baseline/ISIC_0013177.png,0.7791750431060791,0.7775376439094543,0.0016373991966247559,0.0,1,1,True,0.2791750431060791,0.27753764390945435
baseline,ISIC_0013223,/content/drive/MyDrive/Dissertation/edi_faithfulness_localization/edi_fixed_model_faithfulness_localization_isic100_r224_v1/transformed_inputs/baseline/ISIC_0013223.png,0.959384024143219,0.9588376879692078,0.0005463361740112305,0.0,1,1,True,0.459384024143219,0.45883768796920776
baseline,ISIC_0013258,/content/drive/MyDrive/Dissertation/edi_faithfulness_localization/edi_fixed_model_faithfulness_localization_isic100_r224_v1/transformed_inputs/baseline/ISIC_0013258.png,0.9993141889572144,0.9993135929107666,5.960464477539062e-07,0.0,1,1,True,0.49931418895721436,0.4993135929107666
baseline,ISIC_0013429,/content/drive/MyDrive/Dissertation/edi_faithfulness_localization/edi_fixed_model_faithfulness_localization_isic100_r224_v1/transformed_inputs/baseline/ISIC_0013429.png,0.704017162322998,0.6976941227912903,0.006323039531707764,0.0,1,1,True,0.20401716232299805,0.19769412279129028
baseline,ISIC_0013501,/content/drive/MyDrive/Dissertation/edi_faithfulness_localization/edi_fixed_model_faithfulness_localization_isic100_r224_v1/transformed_inputs/baseline/ISIC_0013501.png,0.7170298099517822,0.7141885757446289,0.0028412342071533203,0.0,1,1,True,0.21702980995178223,0.2141885757446289
baseline,ISIC_0013663,/content/drive/MyDrive/Dissertation/edi_faithfulness_localization/edi_fixed_model_faithfulness_localization_isic100_r224_v1/transformed_inputs/baseline/ISIC_0013663.png,0.8194298148155212,0.8203561305999756,0.0009263157844543457,0.0,1,1,True,0.31942981481552124,0.3203561305999756
baseline,ISIC_0013739,/content/drive/MyDrive/Dissertation/edi_faithfulness_localization/edi_fixed_model_faithfulness_localization_isic100_r224_v1/transformed_inputs/baseline/ISIC_0013739.png,0.9623059034347534,0.96259605884552,0.00029015541076660156,0.0,1,1,True,0.4623059034347534,0.46259605884552
baseline,ISIC_0013807,/content/drive/MyDrive/Dissertation/edi_faithfulness_localization/edi_fixed_model_faithfulness_localization_isic100_r224_v1/transformed_inputs/baseline/ISIC_0013807.png,0.9645677208900452,0.964633584022522,6.586313247680664e-05,0.0,1,1,True,0.46456772089004517,0.464633584022522
baseline,ISIC_0013828,/content/drive/MyDrive/Dissertation/edi_faithfulness_localization/edi_fixed_model_faithfulness_localization_isic100_r224_v1/transformed_inputs/baseline/ISIC_0013828.png,0.5888935327529907,0.5920102000236511,0.0031166672706604004,0.0,1,1,True,0.08889353275299072,0.09201020002365112
baseline,ISIC_0013844,/content/drive/MyDrive/Dissertation/edi_faithfulness_localization/edi_fixed_model_faithfulness_localization_isic100_r224_v1/transformed_inputs/baseline/ISIC_0013844.png,0.881649911403656,0.8801459670066833,0.0015039443969726562,0.0,1,1,True,0.381649911403656,0.38014596700668335
baseline,ISIC_0013867,/content/drive/MyDrive/Dissertation/edi_faithfulness_localization/edi_fixed_model_faithfulness_localization_isic100_r224_v1/transformed_inputs/baseline/ISIC_0013867.png,0.7918878793716431,0.7888458371162415,0.0030420422554016113,0.0,1,1,True,0.29188787937164307,0.28884583711624146
baseline,ISIC_0013929,/content/drive/MyDrive/Dissertation/edi_faithfulness_localization/edi_fixed_model_faithfulness_localization_isic100_r224_v1/transformed_inputs/baseline/ISIC_0013929.png,0.9174544215202332,0.9182044863700867,0.0007500648498535156,0.0,1,1,True,0.41745442152023315,0.41820448637008667
baseline,ISIC_0013987,/content/drive/MyDrive/Dissertation/edi_faithfulness_localization/edi_fixed_model_faithfulness_localization_isic100_r224_v1/transformed_inputs/baseline/ISIC_0013987.png,0.8600621819496155,0.8631414771080017,0.0030792951583862305,0.0,1,1,True,0.3600621819496155,0.3631414771080017
baseline,ISIC_0014092,/content/drive/MyDrive/Dissertation/edi_faithfulness_localization/edi_fixed_model_faithfulness_localization_isic100_r224_v1/transformed_inputs/baseline/ISIC_0014092.png,0.9756616353988647,0.9756613969802856,2.384185791015625e-07,0.0,1,1,True,0.47566163539886475,0.47566139698028564
baseline,ISIC_0014114,/content/drive/MyDrive/Dissertation/edi_faithfulness_localization/edi_fixed_model_faithfulness_localization_isic100_r224_v1/transformed_inputs/baseline/ISIC_0014114.png,0.5174276828765869,0.5155404806137085,0.001887202262878418,0.0,1,1,True,0.017427682876586914,0.015540480613708496
baseline,ISIC_0014136,/content/drive/MyDrive/Dissertation/edi_faithfulness_localization/edi_fixed_model_faithfulness_localization_isic100_r224_v1/transformed_inputs/baseline/ISIC_0014136.png,0.2205651402473449,0.21902991831302643,0.0015352219343184592,0.0,0,0,True,0.27943485975265514,0.28097008168697357
baseline,ISIC_0014169,/content/drive/MyDrive/Dissertation/edi_faithfulness_localization/edi_fixed_model_faithfulness_localization_isic100_r224_v1/transformed_inputs/baseline/ISIC_0014169.png,0.996856689453125,0.99688321352005,2.6524066925048828e-05,0.0,1,1,True,0.496856689453125,0.49688321352005005
baseline,ISIC_0014173,/content/drive/MyDrive/Dissertation/edi_faithfulness_localization/edi_fixed_model_faithfulness_localization_isic100_r224_v1/transformed_inputs/baseline/ISIC_0014173.png,0.990005910396576,0.9900215268135071,1.561641693104132e-05,0.0,1,1,True,0.49000591039657604,0.4900215268135071
baseline,ISIC_0014185,/content/drive/MyDrive/Dissertation/edi_faithfulness_localization/edi_fixed_model_faithfulness_localization_isic100_r224_v1/transformed_inputs/baseline/ISIC_0014185.png,0.9770415425300598,0.9769655466079712,7.599592208862305e-05,0.0,1,1,True,0.4770415425300598,0.4769655466079712
baseline,ISIC_0014255,/content/drive/MyDrive/Dissertation/edi_faithfulness_localization/edi_fixed_model_faithfulness_localization_isic100_r224_v1/transformed_inputs/baseline/ISIC_0014255.png,0.9714712500572203,0.9712586998939514,0.00021255016326893195,0.0,1,1,True,0.47147125005722035,0.4712586998939514
baseline,ISIC_0014317,/content/drive/MyDrive/Dissertation/edi_faithfulness_localization/edi_fixed_model_faithfulness_localization_isic100_r224_v1/transformed_inputs/baseline/ISIC_0014317.png,0.9672644734382628,0.9678731560707092,0.0006086826324464001,0.0,1,1,True,0.46726447343826283,0.46787315607070923
baseline,ISIC_0014328,/content/drive/MyDrive/Dissertation/edi_faithfulness_localization/edi_fixed_model_faithfulness_localization_isic100_r224_v1/transformed_inputs/baseline/ISIC_0014328.png,0.9766443967819214,0.9767010807991028,5.6684017181396484e-05,0.0,1,1,True,0.4766443967819214,0.4767010807991028
baseline,ISIC_0014395,/content/drive/MyDrive/Dissertation/edi_faithfulness_localization/edi_fixed_model_faithfulness_localization_isic100_r224_v1/transformed_inputs/baseline/ISIC_0014395.png,0.2714769840240478,0.2698547840118408,0.0016222000122069757,0.0,0,0,True,0.2285230159759522,0.23014521598815918
baseline,ISIC_0014480,/content/drive/MyDrive/Dissertation/edi_faithfulness_localization/edi_fixed_model_faithfulness_localization_isic100_r224_v1/transformed_inputs/baseline/ISIC_0014480.png,0.9873849153518676,0.9871543645858765,0.00023055076599109992,0.0,1,1,True,0.48738491535186756,0.48715436458587646
baseline,ISIC_0014684,/content/drive/MyDrive/Dissertation/edi_faithfulness_localization/edi_fixed_model_faithfulness_localization_isic100_r224_v1/transformed_inputs/baseline/ISIC_0014684.png,0.2045910358428955,0.20433098077774048,0.0002600550651550293,0.0,0,0,True,0.2954089641571045,0.2956690192222595
baseline,ISIC_0014720,/content/drive/MyDrive/Dissertation/edi_faithfulness_localization/edi_fixed_model_faithfulness_localization_isic100_r224_v1/transformed_inputs/baseline/ISIC_0014720.png,0.2506917715072632,0.24977843463420868,0.0009133368730545044,0.0,0,0,True,0.24930822849273682,0.2502215653657913
baseline,ISIC_0014746,/content/drive/MyDrive/Dissertation/edi_faithfulness_localization/edi_fixed_model_faithfulness_localization_isic100_r224_v1/transformed_inputs/baseline/ISIC_0014746.png,0.1029413565993309,0.10310118645429611,0.00015982985496520996,0.0,0,0,True,0.3970586434006691,0.3968988135457039
baseline,ISIC_0014795,/content/drive/MyDrive/Dissertation/edi_faithfulness_localization/edi_fixed_model_faithfulness_localization_isic100_r224_v1/transformed_inputs/baseline/ISIC_0014795.png,0.6035982370376587,0.6083322763442993,0.004734039306640625,0.0,1,1,True,0.10359823703765869,0.10833227634429932
baseline,ISIC_0014911,/content/drive/MyDrive/Dissertation/edi_faithfulness_localization/edi_fixed_model_faithfulness_localization_isic100_r224_v1/transformed_inputs/baseline/ISIC_0014911.png,0.022893376648426,0.022432886064052582,0.0004604905843734186,0.0,0,0,True,0.477106623351574,0.4775671139359474
baseline,ISIC_0014975,/content/drive/MyDrive/Dissertation/edi_faithfulness_localization/edi_fixed_model_faithfulness_localization_isic100_r224_v1/transformed_inputs/baseline/ISIC_0014975.png,0.7363964319229126,0.7372762560844421,0.000879824161529541,0.0,1,1,True,0.2363964319229126,0.23727625608444214
baseline,ISIC_0014982,/content/drive/MyDrive/Dissertation/edi_faithfulness_localization/edi_fixed_model_faithfulness_localization_isic100_r224_v1/transformed_inputs/baseline/ISIC_0014982.png,0.4049433767795563,0.3995843529701233,0.005359023809432983,0.0,0,0,True,0.09505662322044373,0.10041564702987671
baseline,ISIC_0015032,/content/drive/MyDrive/Dissertation/edi_faithfulness_localization/edi_fixed_model_faithfulness_localization_isic100_r224_v1/transformed_inputs/baseline/ISIC_0015032.png,0.3597918748855591,0.36557069420814514,0.00577881932258606,0.0,0,0,True,0.14020812511444092,0.13442930579185486
baseline,ISIC_0015056,/content/drive/MyDrive/Dissertation/edi_faithfulness_localization/edi_fixed_model_faithfulness_localization_isic100_r224_v1/transformed_inputs/baseline/ISIC_0015056.png,0.0925493985414505,0.09732703119516373,0.004777632653713226,0.0,0,0,True,0.4074506014585495,0.4026729688048363
baseline,ISIC_0015127,/content/drive/MyDrive/Dissertation/edi_faithfulness_localization/edi_fixed_model_faithfulness_localization_isic100_r224_v1/transformed_inputs/baseline/ISIC_0015127.png,0.1175866350531578,0.11800491809844971,0.00041828304529190063,0.0,0,0,True,0.3824133649468422,0.3819950819015503
baseline,ISIC_0015158,/content/drive/MyDrive/Dissertation/edi_faithfulness_localization/edi_fixed_model_faithfulness_localization_isic100_r224_v1/transformed_inputs/baseline/ISIC_0015158.png,0.7529829144477844,0.7604252099990845,0.007442295551300049,0.0,1,1,True,0.2529829144477844,0.2604252099990845
baseline,ISIC_0015166,/content/drive/MyDrive/Dissertation/edi_faithfulness_localization/edi_fixed_model_faithfulness_localization_isic100_r224_v1/transformed_inputs/baseline/ISIC_0015166.png,0.056243609637022,0.05645164102315903,0.00020803138613702948,0.0,0,0,True,0.443756390362978,0.443548358976841
baseline,ISIC_0015206,/content/drive/MyDrive/Dissertation/edi_faithfulness_localization/edi_fixed_model_faithfulness_localization_isic100_r224_v1/transformed_inputs/baseline/ISIC_0015206.png,0.0376187376677989,0.03761119022965431,7.547438144586693e-06,0.0,0,0,True,0.4623812623322011,0.4623888097703457
baseline,ISIC_0015211,/content/drive/MyDrive/Dissertation/edi_faithfulness_localization/edi_fixed_model_faithfulness_localization_isic100_r224_v1/transformed_inputs/baseline/ISIC_0015211.png,0.1070659905672073,0.10499797761440277,0.002068012952804524,0.0,0,0,True,0.3929340094327927,0.39500202238559723
baseline,ISIC_0015215,/content/drive/MyDrive/Dissertation/edi_faithfulness_localization/edi_fixed_model_faithfulness_localization_isic100_r224_v1/transformed_inputs/baseline/ISIC_0015215.png,0.9850515127182008,0.9852075576782227,0.00015604496002186163,0.0,1,1,True,0.4850515127182008,0.48520755767822266
